Pics,Brand,Period Product,Type,Eco-Friendly,Sports-Friendly,Organic Cotton,Teen-Friendly,No-Show,Small Business Owned,Biodegradable,Vegan,Cruelty-Free,Size Inclusivity,Price Range
,Always,Disposable Pads,External,Varies,Yes,Varies,Yes,Yes,No,Varies,No,No,Yes,$ - $$
,Natracare,Disposable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$ - $$
,Always,Disposable Pads,External,No,Yes,No,Yes,Yes,No,No,No,No,Yes,$
,Poise,Disposable Pads,External,No,Yes,No,Yes,Yes,No,No,No,No,Yes,$
,Cora,Disposable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$ - $$
,Maxim,Disposable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$ - $$
,Saalt,Menstrual Cups,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Organicup,Menstrual Cups,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Lunette,Menstrual Cups,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Charlie Banana,Menstrual Cups,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Flex,Menstrual Discs,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Femly,Menstrual Discs,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,WUKA,Period Leggings,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Ruby Love,Period Panties,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Rael,Period Panties,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Flo,Period Panties,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Dear Kate,Period Shorts,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$$ - $$$$
,Modibodi,Period Swimwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Knix,Period Swimwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Aisle,Period Swimwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Thinx,Period Underwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Cora,Period Underwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Sustain,Period Underwear,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Hannahpad,Reusable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Lunapads,Reusable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Aisle,Reusable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Hey Girls,Reusable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$
,GladRags,Reusable Pads,External,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Lola,Tampons,Internal,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,$$
,Cora,Tampons,Internal,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,$$ - $$$
,Tom Organic,Tampons,Internal,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
,Tampax,Tampons,Internal,No,Yes,No,Yes,No,No,No,No,No,Yes,$
,U by Kotex,Tampons,Internal,No,Yes,No,Yes,No,No,No,No,No,Yes,$
,L.,Tampons,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$
,Veeda,Tampons,Internal,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,$ - $$
,Sustain,Tampons,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$
,The Honey Pot,Tampons,Internal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$$
